epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,114.471,2.60899,4.03553,3.5405,1.84221,0,6e-05,0.03297,0,0,4e-05,0.02198,0,0,2.66561,nan,nan,15.8437,0,0.000662005,0.000662005,0.000662005
2,238.323,2.63001,3.87804,2.74026,1.87016,0,0.17031,0.07692,0.03914,0.00888,0.14059,0.07692,0.02532,0.00634,1.89812,2.72387,10.6767,1.36736,0,0.00132835,0.00132835,0.00132835
3,361.209,2.56981,3.87705,2.64846,1.83747,0,0.16856,0.13187,0.08498,0.02987,0.11316,0.0989,0.05004,0.01428,1.86388,2.98744,18.4658,1.48724,0,0.00199339,0.00199339,0.00199339
4,484.981,2.55713,3.86951,2.55685,1.80907,0,0.40813,0.23077,0.16931,0.04558,0.40813,0.23077,0.15429,0.04047,1.71764,2.64869,8.24865,1.32062,0,0.00199561,0.00199561,0.00199561
5,614.336,2.4641,3.70841,2.40658,1.7791,0,0.16611,0.20879,0.09593,0.02425,0.20792,0.1978,0.09372,0.02323,1.87428,2.61286,8.40656,1.38234,0,0.00199219,0.00199219,0.00199219
6,736.038,2.38171,3.61728,2.29973,1.73971,0,0.16922,0.27473,0.17422,0.04753,0.16319,0.27473,0.15458,0.04619,1.65096,2.5087,8.39343,1.26029,0,0.00198781,0.00198781,0.00198781
7,855.857,2.31089,3.58247,2.18565,1.68862,0,0.36671,0.34066,0.2886,0.08994,0.34714,0.32967,0.28606,0.096,1.57329,2.35254,8.02668,1.23715,0,0.00198246,0.00198246,0.00198246
8,977.716,2.31253,3.50558,2.17458,1.68369,0,0.40348,0.23077,0.20003,0.0715,0.46258,0.23653,0.21545,0.06501,1.6761,2.47367,4.35991,1.27995,0,0.00197616,0.00197616,0.00197616
9,1098.55,2.2698,3.51739,2.15929,1.66888,0,0.403,0.34066,0.30356,0.10044,0.42709,0.3195,0.28618,0.09392,1.61626,2.39396,2.73273,1.22798,0,0.0019689,0.0019689,0.0019689
10,1222.9,2.18039,3.44407,2.03422,1.62704,0,0.37289,0.30061,0.26895,0.09229,0.35353,0.2967,0.25339,0.07903,1.54964,2.36664,2.84965,1.16056,0,0.00196069,0.00196069,0.00196069
11,1344.06,2.17393,3.38687,1.99872,1.62349,0,0.50181,0.2967,0.29824,0.09034,0.48671,0.28571,0.27526,0.08121,1.58218,2.47856,16.8112,1.24607,0,0.00195155,0.00195155,0.00195155
12,1464.39,2.16675,3.33125,1.99338,1.62632,0,0.46128,0.25408,0.30457,0.09442,0.4626,0.24176,0.26865,0.07619,1.58293,2.49054,4.18833,1.22247,0,0.00194147,0.00194147,0.00194147
13,1589.78,2.14799,3.27177,1.91354,1.59776,0,0.54332,0.32967,0.31803,0.11869,0.55359,0.31348,0.29152,0.11051,1.5249,2.26948,8.95987,1.20247,0,0.00193048,0.00193048,0.00193048
14,1716.49,2.13712,3.23468,1.90454,1.57813,0,0.60814,0.35165,0.34899,0.14123,0.60814,0.35165,0.34308,0.11074,1.50088,2.26717,10.7445,1.17613,0,0.00191858,0.00191858,0.00191858
15,1839.08,2.08188,3.22922,1.8616,1.57087,0,0.51816,0.41758,0.37889,0.1547,0.47611,0.38462,0.32966,0.12281,1.46461,2.29687,3.54068,1.18867,0,0.00190578,0.00190578,0.00190578
16,1965.91,2.07733,3.23083,1.87291,1.5619,0,0.53096,0.40659,0.4284,0.14271,0.4375,0.34066,0.31852,0.10693,1.49296,2.29973,8.40177,1.14855,0,0.0018921,0.0018921,0.0018921
17,2087.86,2.06361,3.16874,1.79197,1.5421,0,0.56667,0.38462,0.39941,0.14648,0.6087,0.29066,0.34667,0.11444,1.46946,2.37644,6.90835,1.12842,0,0.00187754,0.00187754,0.00187754
18,2211.07,2.03833,3.15681,1.76956,1.53553,0,0.53362,0.42857,0.46086,0.18066,0.46005,0.37363,0.38151,0.16027,1.41741,2.21426,4.1632,1.13759,0,0.00186213,0.00186213,0.00186213
19,2333.74,2.02554,3.09564,1.74099,1.52018,0,0.49052,0.37363,0.37874,0.14509,0.70778,0.31868,0.37902,0.12464,1.46451,2.31814,8.72498,1.16503,0,0.00184588,0.00184588,0.00184588
20,2454.31,1.99307,3.04969,1.70661,1.51191,0,0.7485,0.36264,0.44476,0.17028,0.70195,0.34066,0.39922,0.14695,1.47455,2.34314,3.62899,1.15712,0,0.00182881,0.00182881,0.00182881
21,2574.13,1.99228,3.05647,1.68616,1.50163,0,0.43351,0.43956,0.41278,0.17379,0.42268,0.42857,0.4126,0.14624,1.47068,2.39732,7.17512,1.18772,0,0.00181093,0.00181093,0.00181093
22,2692.74,1.97347,3.04807,1.6707,1.50291,0,0.70786,0.32967,0.42291,0.15228,0.63529,0.2967,0.3516,0.12065,1.49663,2.28907,5.9182,1.14808,0,0.00179225,0.00179225,0.00179225
